target1,target2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.012160416998085566,0.03474458299751859,17.959470916997816,space,17.898959458001627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
,,,,,,,,,,,,,,17.9595021669993,17.984847374998935,30.729623624996748,space,12.7388786670017,None,,,,,,,,,,,,,,,,,,,,,,,,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
care, list,0,0,0,7,30.77139491699927,,,,,,,,,,,,,,30.746723999996902,30.77139491699927,31.738578832999337,31.738587916999677,31.978771957998106,32.02220599999782,32.12902879199828,32.17192233300011,32.305622582996875,32.30563716699908,32.42431599999691,32.42431599999691,32.42431599999691,32.42431599999691,49.897379750000255,0,0,,,1,[17.58295595800155],[17.582962291999138],,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,1,1,25,49.90531637499953,,,,,,,,,,,,,,49.89805487499689,49.90531637499953,50.88957429199945,50.88958649999768,51.14609516699784,51.189734542000224,51.296373249999306,51.33969412499937,51.480032916999335,51.48005408300014,51.50648566699965,51.50648566699965,51.50648566699965,51.50648566699965,60.38543279199803,0,0,,,1,[8.895454292000068],[8.89545816700047],50.90276845799963,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,2,2,18,60.39211204199819,,,,,,,,,,,,,,60.385830582999915,60.39211204199819,61.37997579199873,61.37999116699939,61.63033779199759,61.67303345799883,61.779665791997104,61.82348516699858,61.963584624998475,61.96360395800002,61.98989799999981,61.98989799999981,61.98989799999981,61.98989799999981,68.71142195799985,0,0,care,,1,[6.738049125000543],[6.738053249999211],61.39139974999853,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,3,3,14,68.7232113329992,,,,,,,,,,,,,,68.71180824999828,68.7232113329992,69.70683449999706,69.70684741699733,69.95677799999976,69.99633029199686,70.1067840830001,70.14622766699904,70.29040579199864,70.29041987500023,70.3143999999993,70.3143999999993,70.3143999999993,70.3143999999993,81.20258312499936,0,0,,list,1,[10.90411099999983],[10.904115165998519],69.71800341699782,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,4,4,20,81.2096196249986,,,,,,,,,,,,,,81.20300295799825,81.2096196249986,82.19750487499914,82.19751974999963,82.4477592080002,82.4903896249998,82.59689795799932,82.64057216699803,82.78117474999817,82.78119045799758,82.80694595800014,82.80694595800014,82.80694595800014,82.80694595800014,88.96265295799822,0,0,,,1,[6.171889500001271],[6.171893499998987],82.20867245800036,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,5,5,34,88.97392095800024,,,,,,,,,,,,,,88.9630589169974,88.97392095800024,89.95763233300022,89.95764399999825,90.20733879199906,90.2468197499984,90.35733645799701,90.3964529579971,90.54086295799789,90.54087874999823,90.56592937499954,90.56592937499954,90.56592937499954,90.56592937499954,99.65368599999783,0,0,,,1,[9.104376625000441],[9.104380791999574],89.96859891699933,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,6,6,21,99.66012187500019,,,,,,,,,,,,,,99.65408029199898,99.66012187500019,100.64812933299982,100.64814295799806,100.897997707998,100.94108787499863,101.04787929200029,101.09099541699834,101.24146133300019,101.24147708300006,101.26042324999798,101.26042324999798,101.26042324999798,101.26042324999798,138.5047221249988,0,0,care,,1,[37.2613386669982],[37.26134287500099],100.66022820799844,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,7,7,33,138.5111571669986,,,,,,,,,,,,,,138.50514054199812,138.5111571669986,139.49885687499773,139.49887012499676,139.74925387499752,139.79215829199893,139.89931929199884,139.9422103750003,140.0828921249995,140.08291083299991,140.1087207499986,140.1087207499986,140.1087207499986,140.1087207499986,148.91383908299758,0,0,,,1,[8.821213041999727],[8.821217084001546],139.5253804999993,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
