target1,target2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.03938070800359128,0.05889279200346209,1.108680875004211,space,1.010652666001988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
,,,,,,,,,,,,,,1.1087138750008307,1.1159881670027971,7.913297833001707,space,6.791094833002717,None,,,,,,,,,,,,,,,,,,,,,,,,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
cart, loss,0,0,0,8,7.9352121250049095,,,,,,,,,,,,,,7.926462791998347,7.9352121250049095,9.922799457999645,9.922810832998948,10.173205833001703,10.223320832999889,10.329632875000243,10.380222792002314,10.530010167,10.530026500004169,10.569702250002592,10.569702250002592,10.569702250002592,10.569702250002592,30.12730058300076,1,0,cart,loss,1,[19.587102999998024],[19.587107708000985],,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
calm, heat,0,1,1,4,30.139929582997866,,,,,,,,,,,,,,30.128022832999704,30.139929582997866,32.123664625003585,32.123675667004136,32.39014262500132,32.43997241699981,32.54683691700484,32.597361457999796,32.74743408300128,32.74744783300412,32.76460112500354,32.76460112500354,32.76460112500354,32.76460112500354,43.56857179199869,0,0,,heat,1,[10.819376874998852],[10.819382292000228],32.13828641700093,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
bird, rain,0,2,2,0,43.57545279199985,,,,,,,,,,,,,,43.56897400000162,43.57545279199985,45.56425004199991,45.56426462499803,45.83101758300472,45.880826958004036,45.99054287499894,46.0402671250049,46.19066612500319,46.1906797499978,46.208358957999735,46.208358957999735,46.208358957999735,46.208358957999735,68.04498133299785,1,0,bird,rain,1,[21.85260500000004],[21.85260987500078],45.577235208002094,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
case, love,0,3,3,9,68.05789995800296,,,,,,,,,,,,,,68.04537887500192,68.05789995800296,70.04122254200047,70.04123320800136,70.30795245800255,70.3573499999984,70.46380558300007,70.515352041999,70.6644928329988,70.66450883300422,70.68087129200285,70.68087129200285,70.68087129200285,70.68087129200285,83.18587025000306,1,0,case,love,1,[12.519587292001233],[12.519604332999734],70.05290716700256,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
care, list,0,4,4,7,83.19280195800093,,,,,,,,,,,,,,83.18633233300352,83.19280195800093,85.18147483299981,85.18148791699787,85.44842695799889,85.49827970800106,85.60833416700189,85.65777608300414,85.80841262500326,85.80842575000133,85.82435416700173,85.82435416700173,85.82435416700173,85.82435416700173,102.49222358300176,1,0,care,list,1,[16.682217292000132],[16.682221541996114],85.19342412499827,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
card, loan,0,5,5,6,102.49847945800138,,,,,,,,,,,,,,102.49267566700291,102.49847945800138,104.48277229200175,104.48278087499784,104.74667112500174,104.7965991250021,104.9083716669993,104.95816158300295,105.10888400000113,105.1089044170003,105.12770158299827,105.12770158299827,105.12770158299827,105.12770158299827,121.35368129199924,1,0,card,loan,1,[16.2367282500054],[16.236733583005844],104.49078170800203,k3,001,2023-11-28_16h33.11.546,experiment,2023.2.2,None,2023-11-28 16h33.21.935416 +0530,
,,,,,,121.36053095800162,,,,,,,,,,,,,,121.35410916700494,121.36053095800162,123.3488073749977,123.34882041699893,123.61550716700003,123.6652780000004,123.77557816699846,123.82524637500319,123.9754729999986,123.97548670800461,123.99168966700381,123.99168966700381,123.99168966700381,123.99168966700381,,,,,,,,,123.36145108300116,,,,,,,,
