target1,target2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.014366750001499895,0.031037708999065217,4.650578959000995,space,4.590450083000178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k2,001,2023-11-28_16h27.37.627,experiment,2023.2.2,None,2023-11-28 16h28.04.878214 +0530,
,,,,,,,,,,,,,,4.650616541999625,4.657943499994872,5.957942208995519,space,1.2937251670009573,None,,,,,,,,,,,,,,,,,,,,,,,,k2,001,2023-11-28_16h27.37.627,experiment,2023.2.2,None,2023-11-28 16h28.04.878214 +0530,
case, love,0,0,0,9,5.982378708999022,,,,,,,,,,,,,,5.970684291998623,5.982378708999022,7.958230999996886,7.9582409169961466,8.281828791994485,8.341204874996038,8.47479733399814,8.531187624997983,8.71484858400072,8.714863541994418,8.75654966699949,8.75654966699949,8.75654966699949,8.75654966699949,16.936469291998947,1,0,case,love,1,[8.211161166000238],[8.211164749998716],,k2,001,2023-11-28_16h27.37.627,experiment,2023.2.2,None,2023-11-28 16h28.04.878214 +0530,
book, dark,0,1,1,3,16.94370262499433,,,,,,,,,,,,,,16.937163916998543,16.94370262499433,18.93196099999477,18.93197545899602,19.258796999994956,19.314555541997834,19.449230083999282,19.508486250000715,19.698131042001478,19.698147999995854,19.725345792001463,19.725345792001463,19.725345792001463,19.725345792001463,27.51975170899823,1,0,book,dark,1,[7.8108146250015125],[7.810818542006018],18.9464761249983,k2,001,2023-11-28_16h27.37.627,experiment,2023.2.2,None,2023-11-28 16h28.04.878214 +0530,
camp, soil,0,2,2,5,27.527551874998608,,,,,,,,,,,,,,27.520183166998322,27.527551874998608,29.515545416994428,29.51555879199441,29.842419916996732,29.898161791999883,30.03259470899502,30.09208887499699,30.283066208998207,30.283078458996897,30.30128283399972,30.30128283399972,30.30128283399972,30.30128283399972,38.98699754200061,1,0,camp,soil,1,[8.702086500001315],[8.702090500002669],29.52921866699762,k2,001,2023-11-28_16h27.37.627,experiment,2023.2.2,None,2023-11-28 16h28.04.878214 +0530,
care, list,0,3,3,7,38.99395562499558,,,,,,,,,,,,,,38.98743770899455,38.99395562499558,40.982730541996716,40.98274679199676,41.30927216699638,41.365582334001374,41.49947758399503,41.5595458339958,41.7495084589973,41.749523541999224,41.77588129200012,41.77588129200012,41.77588129200012,41.77588129200012,55.99375575000158,1,0,care,list,1,[14.234022040996933],[14.234025707999535],40.99543170900142,k2,001,2023-11-28_16h27.37.627,experiment,2023.2.2,None,2023-11-28 16h28.04.878214 +0530,
,,,,,,56.00011662500037,,,,,,,,,,,,,,55.99418479199812,56.00011662500037,57.9835650419991,57.98357920899434,58.31695262499852,58.37658904199634,58.509943708995706,58.565930583994486,58.750072041999374,58.75009020899597,58.77628754200123,58.77628754200123,58.77628754200123,58.77628754200123,,,,,,,,,57.99616058399988,,,,,,,,
