target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,cross_3.stopped,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
boat, cold,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,136.36020004199963,,,,,,,,,,,,,,136.35401516700222,136.36020004199963,138.34869058400363,138.34870416700142,138.61512504200073,138.66526237499784,138.7752819169982,138.82471125000302,138.97520683400217,138.9752207920028,138.99179983400245,138.99179983400245,138.99179983400245,138.99179983400245,146.38039429199853,1,0,boat,,1,[7.403539541999635],[7.403543207998155],138.35910266699648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
bird, rain,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,146.39190037499793,,,,,,,,,,,,,,146.3807824999967,146.39190037499793,148.37532441700023,148.37533612499828,148.64219270899775,148.69160854200163,148.79818620900187,148.84845745899656,148.99868454199895,148.99870162500156,149.02429262499936,149.02429262499936,149.02429262499936,149.02429262499936,171.30488658400282,0,0,rain,,1,[22.295832166004402],[22.295835832999728],148.38660929199978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3052017500013,171.31175604199962,183.6596825000015,space,12.338563584002259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
cast, lump,50,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,193.68538583400368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,183.65970916699735,183.68042733400216,193.66626637500303,193.67834358399705,193.68538583400368,195.6658902920026,195.66590741700202,195.9159833340018,195.96595954200166,196.07603137499973,196.1266908749967,196.276923874997,196.27693691699824,196.30173366700183,196.30173366700183,196.30173366700183,196.30173366700183,207.88791187499737,cast,lump,1,[11.6026242500011],[11.602628208005626],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
cold, pond,50,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,207.89501558399934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,207.88850308400288,207.89501558399934,209.88396254200052,209.88397687499673,210.15060791699943,210.19956724999793,210.31027537499904,210.35975650000182,210.5101593750005,210.51017437499831,210.52754133399867,210.52754133399867,210.52754133399867,210.52754133399867,218.44796070900338,cold,,1,[7.93601441699866],[7.936018167005386],209.89528158400208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
code, plot,50,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,218.46039074999862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,218.44835541700013,218.46039074999862,220.44363887500367,220.44364904199756,220.7101912090002,220.7595717919976,220.8667255420005,220.9176302920023,221.06707137500052,221.06708920899837,221.08347737500299,221.08347737500299,221.08347737500299,221.08347737500299,228.9225942089979,card,,1,[7.8537740419997135],[7.853777500000433],220.45476020900242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
chef, moon,50,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,228.92915020899818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,228.92304149999836,228.92915020899818,230.91752666699904,230.91754220899747,231.18345554199914,231.23357545900217,231.3440352089965,231.39351941699715,231.54397858399898,231.54399266700057,231.5615012499984,231.5615012499984,231.5615012499984,231.5615012499984,238.19859562499914,chef,,1,[6.652863750001416],[6.652867625001818],230.92985979199875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
chin, nail,50,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,238.21064445900265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,238.19900037500338,238.21064445900265,240.1940217500014,240.19403325000167,240.4608417089985,240.51033612500032,240.61704737500258,240.66805724999722,240.8176301670028,240.8176483749994,240.8436222090022,240.8436222090022,240.8436222090022,240.8436222090022,248.53188041700196,nail,,1,[7.70412795899756],[7.704131749997032],240.2047379170035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
cave, meal,50,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,248.54400783400342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,248.53231937500095,248.54400783400342,250.52760058399872,250.52761295899836,250.79393508400244,250.84389208399807,250.95008633399993,251.0016719589985,251.1514396670027,251.15146066700254,251.16761083400343,251.16761083400343,251.16761083400343,251.16761083400343,260.21601229200314,meal,,1,[9.062921207994805],[9.062924874997407],250.53835958400305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
coat, note,50,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,260.2277512090004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,260.2164079170034,260.2277512090004,262.21079029200337,262.2108021250024,262.4781355419982,262.5274795840014,262.63397033399815,262.6847942919994,262.83518341700255,262.83520291699824,262.85163470899715,262.85163470899715,262.85163470899715,262.85163470899715,271.6903340420031,coat,,1,[8.853410541996709],[8.853413999997429],262.22159529200144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
club, news,50,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,271.697034249999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,271.6907718750008,271.697034249999,273.68490604199906,273.6849202919984,273.9516545419974,274.00186674999713,274.11155699999654,274.1610767919992,274.31146450000233,274.3114778750023,274.328311792,274.328311792,274.328311792,274.328311792,284.35735829199984,news,,1,[10.044073832999857],[10.04407754100248],273.71113595899806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
clay, name,50,,,,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,284.3638917499993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,284.3577570839989,284.3638917499993,286.35133104200213,286.35134770900186,286.61851933399885,286.6678895419973,286.77855091699894,286.8279964589965,286.97883416699915,286.97884625000006,286.99547249999887,286.99547249999887,286.99547249999887,286.99547249999887,295.3175956249979,clay,,1,[8.336941457993817],[8.336945207993267],286.3616766249979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muskan,001,2023-11-28_17h10.50.928,experiment,2023.2.2,None,2023-11-28 17h11.07.211241 +0530,
