target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,text_countdown.stopped,countdown.stopped,fixation_2.started,cross_2.started,cross_2.stopped,fixation_2.stopped,routine_50_ms.started,target_3.started,target_3.stopped,target_4.started,target_4.stopped,routine_50_ms.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_100ms.started,target_5.started,target_5.stopped,target_6.started,target_6.stopped,routine_100ms.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_200ms.started,target_7.started,target_7.stopped,target_8.started,target_8.stopped,routine_200ms.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_400ms.started,target.started,target.stopped,target_9.started,target_9.stopped,routine_400ms.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_600ms.started,target_11.started,target_11.stopped,target_12.started,target_12.stopped,routine_600ms.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
boat, cold,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,154.03935420899506,,,,,,,,,,,,,,154.03300104200025,154.03935420899506,156.02712645899737,156.0271371669951,156.52713533399947,156.6203367499984,156.82666129199788,156.92010537500028,157.21097649999865,157.21099145899643,157.2340367919969,157.2340367919969,157.2340367919969,157.2340367919969,166.1664341249998,1,0,boat,cold,1,[8.945592583993857],[8.945596999998088],156.03651454200008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
camp, soil,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,166.17333329199755,,,,,,,,,,,,,,166.16682820899587,166.17333329199755,168.16031899999507,168.16033033399435,168.66012820899778,168.75362358399434,168.96039291699708,169.05365229199379,169.35366508399602,169.35367379200034,169.3685512499942,169.3685512499942,169.3685512499942,169.3685512499942,183.5166130419966,1,0,camp,soil,1,[14.161420750002435],[14.161426291997486],168.1703720000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.51695033400028,183.5240444999945,187.31125549999706,space,3.782236290993751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
cast, lump,50,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,197.3282632499977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,187.31127595900034,187.3275388339971,197.3282632499977,197.31151520899584,197.32119720899937,197.3282632499977,199.33714487499674,199.31126524999854,199.3112762919991,199.8042380419938,199.89357445899805,200.10436033400038,200.1935634170004,200.49428749999788,200.4943046249973,200.51150066699483,200.51150066699483,200.51150066699483,200.51150066699483,209.85916079199524,cast,lump,1,[9.362978334000218],[9.362982541999372],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
cold, pond,50,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,209.87157287499576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,209.85973858399666,209.87157287499576,211.86520316699898,211.85472320899862,211.85473300000012,212.35458987499442,212.44455012499384,212.65445754199754,212.74457637500018,213.03825645899633,213.0382675419969,213.05848062499717,213.05848062499717,213.05848062499717,213.05848062499717,249.9106316249963,camp,soil,1,[36.86487195800146],[36.864876250001544],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
chin, nail,50,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,249.9216149999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,249.91103024999757,249.9216149999993,251.9155852499971,251.90593479199742,251.90594366699952,252.40570458399452,252.49495549999847,252.70583112500026,252.79493008399731,253.08902633399703,253.0890369589979,253.11017054199328,253.11017054199328,253.11017054199328,253.11017054199328,264.71780824999587,chin,nail,1,[11.620830583000497],[11.620834624998679],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
cave, meal,50,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,264.72496362499805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,264.71822512499784,264.72496362499805,266.7392689999979,266.71353558400006,266.71354599999904,267.21254862499336,267.30593604199385,267.51262954199774,267.6061819999959,267.89622762499494,267.89624287499464,267.91974299999856,267.91974299999856,267.91974299999856,267.91974299999856,278.1451383339954,cave,meal,1,[10.238672625004256],[10.238677125002141],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
club, news,50,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,278.15567241700046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,278.145538124998,278.15567241700046,280.14976066699455,280.14010945899645,280.140119083997,280.6395366669967,280.7291054169982,280.93935020899517,281.02920141699724,281.3230630420003,281.3230734999961,281.34431279199634,281.34431279199634,281.34431279199634,281.34431279199634,289.9112487089951,club,news,1,[8.580022249996546],[8.580026791998534],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
chef, moon,50,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,289.92323795899574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,289.911655166994,289.92323795899574,291.91738045899547,291.9065965839982,291.9066166249977,292.4064742089977,292.4954308749948,292.7064042089987,292.795763874994,293.0898898339947,293.08989974999713,293.11063537500013,293.11063537500013,293.11063537500013,293.11063537500013,312.65218012499827,chef,moon,1,[19.5546185839994],[19.554622709001706],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
coat, note,50,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,312.65950858399447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,312.6525822919939,312.65950858399447,314.67389166700013,314.64768354199623,314.6476946249968,315.1464804999996,315.24002204199496,315.4471428339966,315.5406332919956,315.83143199999904,315.831446917,315.854627875,315.854627875,315.854627875,315.854627875,326.67914720899716,coat,note,1,[10.838108375006414],[10.838112625002395],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kruti,001,2023-11-28_15h22.01.877,experiment,2023.2.2,None,2023-11-28 15h22.12.380739 +0530,
